Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,DMI IE Notes,DMI UK Notes,DentalSky Notes,Dontalia Notes,Henry Schein Notes
FMA1389,UnoDent Luminos UN Capsules A2 20x0.25g (FLU831) - Pack20,UnoDent,FLU831, FILLING MATERIALS ANTERIOR,Pack (20),£13.91,£28.71,€33.30,51.5%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FMA1410,UnoDent Luminos Flowable Syringe A2 2g (FLU861) - Each,UnoDent,FLU861, FILLING MATERIALS ANTERIOR,Each,£8.14,£12.50,€14.50,34.9%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FMA355,SDI Wave Flowable Composite Syringe A2 1g (7510203) - Each,SDI,7510203, FILLING MATERIALS ANTERIOR,Each,£8.19,£14.03,€16.27,41.6%,€147.88,-89.0%,https://www.dmi.ie/products/dentsply-sirona-dyract-flow-syringe-1-8g-a2-dent-60604402.html,£10.95,28.1%,https://www.dentalsky.com/wave-1g-syringe-a2.html,€11.35,,https://www.dontalia.com/wave-flow-1-syringe.html,£119.75,-88.3%,https://www.dmi.co.uk/products/dentsply-sirona-dyract-flow-syringe-1-8g-a2-dent-60604402.html,N/A,,,,,,,Not listed on competitor
FMA549A,Kulzer Venus Pearl ART PLT A2 20x0.2g (66048141) - Box20,Kulzer,66048141, FILLING MATERIALS ANTERIOR,Box (20),£45.27,£66.23,€76.83,31.6%,€83.58,-8.1%,https://www.dmi.ie/products/kulzer-venus-pearl-plt-20pk-a2-hera-66048141.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*i4jsj3*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,N/A,N/A,,€54.75,,https://www.dontalia.com/venus-pearl-plt-20-pcs.html,£69.98,,https://www.dmi.co.uk/products/kulzer-venus-pearl-plt-20pk-a2-hera-66048141.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*i4jsj3*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,N/A,,,,,Not listed on competitor,,Not listed on competitor
FMA954,Kulzer Venus Pearl ART PLT A3 20x0.2g (66048143) - Box20,Kulzer,66048143, FILLING MATERIALS ANTERIOR,Box (20),£45.27,£64.97,€75.37,30.3%,€83.58,-9.8%,https://www.dmi.ie/products/kulzer-venus-pearl-plt-20pk-a3-hera-66048143.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*y80bj2*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,N/A,N/A,,€54.75,,https://www.dontalia.com/venus-pearl-plt-20-pcs.html,£69.98,,https://www.dmi.co.uk/products/kulzer-venus-pearl-plt-20pk-a3-hera-66048143.html?name=Kulzer%20Venus%20Pearl%20ART&type=simple&_gl=1*y80bj2*_up*MQ..*_ga*NjcyMTUxNjU2LjE3NDQxMjUyNjM.*_ga_0T1NKWVSZ2*MTc0NDEyNTI2My4xLjEuMTc0NDEyNTU5My4wLjAuMA..,N/A,,,,,Not listed on competitor,,Not listed on competitor
FMP213,3M Filtek One Bulk Fill Capsules A2 (4867A2) - Pack20,3M,4867A2, FILLING MATERIALS ANTERIOR,Pack (20),£39.50,£58.09,€67.38,32.0%,€89.13,-24.4%,https://www.dmi.ie/products/3m-filtek-one-bulk-fill-capsules-20pk-a2-3m-4867a2.html,51.95,11.8%,https://www.dentalsky.com/3mtm-filtektm-one-bulk-fill-restorative-20-x-0-2g-capsules-a2.html,€49.99,,https://www.dontalia.com/filtek-one-capsules.html,£70.40,,https://www.dmi.co.uk/products/3m-filtek-one-bulk-fill-capsules-20pk-a2-3m-4867a2.html,N/A,,,,,,,Not listed on competitor
FPM007,"3M Sof-Lex Discs 3/8"" Coarse (1981C) - Pack85",3M,1981 C," FINISHING, POLISHING MATERIALS",Pack (85),£32.71,£46.67,€54.14,29.9%,€70.30,-23.0%,https://www.dmi.ie/products/3m-sof-lex-discs-85pk-3-8-9-5mm-black-coarse-3m-1981c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,N/A,N/A,,N/A,,,£55.53,,https://www.dmi.co.uk/products/3m-sof-lex-discs-85pk-3-8-9-5mm-black-coarse-3m-1981c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FPM011,"3M Sof-Lex Discs 1/2"" Coarse (1982C) - Pack85",3M,1982 C," FINISHING, POLISHING MATERIALS",Pack (85),£32.74,£49.84,€57.81,34.3%,€70.30,-17.8%,https://www.dmi.ie/products/3m-sof-lex-discs-85pk-1-2-12-7mm-black-coarse-3m-1982c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,N/A,N/A,,€37.31,,https://www.dontalia.com/pop-ontm-1982.html,£55.53,,https://www.dmi.co.uk/products/3m-sof-lex-discs-85pk-1-2-12-7mm-black-coarse-3m-1982c.html?name=3M%20Sof-Lex%20Discs&type=simple&_gl=1*yl09ei*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjAuMTc0NDc0NjE5MS4wLjAuMA..,N/A,,,,,Not listed on competitor,,Not listed on competitor
FPM016,3M Sof-Lex Mandrels (1983RA) - Pack3,3M,1983 RA," FINISHING, POLISHING MATERIALS",Pack (3),£14.36,£29.78,€34.54,51.8%,€35.08,-1.5%,https://www.dmi.ie/products/3m-sof-lex-mandrels-3pk-right-angle-3m-1983ra.html?name=3M%20Sof-Lex%20Mandrels&type=simple&_gl=1*17s2zs0*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjEuMTc0NDc0NjM1Ny4wLjAuMA..,N/A,N/A,,N/A,,,£27.71,,https://www.dmi.co.uk/products/3m-sof-lex-mandrels-3pk-right-angle-3m-1983ra.html?name=3M%20Sof-Lex%20Mandrels&type=simple&_gl=1*17s2zs0*_up*MQ..*_ga*NTM2MTc4MDQ2LjE3NDQ3NDYxOTE.*_ga_0T1NKWVSZ2*MTc0NDc0NjE5MS4xLjEuMTc0NDc0NjM1Ny4wLjAuMA..,N/A,,,,,Not listed on competitor,Not listed on competitor,Not listed on competitor
FPM085,Perfection Plus Tofflemire Bands No.1 Thin (085/0055),Surrey Dental,085/0055," FINISHING, POLISHING MATERIALS",Pack (12),£0.85,£1.50,€1.74,43.3%,N/A,N/A,,N/A,N/A,,N/A,N/A,,N/A,,,N/A,,,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor,Not listed on competitor
FPM118,Perfection Plus Prophy Paste Mint Coarse 250g (PP010/0046),Perfection Plus,010/0046," FINISHING, POLISHING MATERIALS",Each,£4.35,£6.58,€7.63,33.9%,€53.78,-85.8%,https://www.dmi.ie/products/perfection-plus-prophy-paste-cups-200pk-coarse-cherry-perf-0100103.html,£6.70,-1.8%,https://www.dentalsky.com/perfection-plus-prophy-paste-coarse-mint-250g.html,N/A,N/A,,£46.18,-85.8%,https://www.dmi.co.uk/products/perfection-plus-prophy-paste-cups-200pk-coarse-cherry-perf-0100103.html,N/A,,,,,,Not listed on competitor,Not listed on competitor
