Code,Name,Manufacturer,Part Number,Product Group Description,Stock Unit Name,Cost Price,Sales Price (£),Sales Price (€),Margin,DMI Sales Price (€),Variance (DMI IE),DMI URL (IE),DMI IE Notes,DMI IE Product,DMI IE Pack Flag,DMI IE Adjusted Variance,DMI Sales Price (£),Variance (DMI UK),DMI URL (UK),DMI UK Notes,DMI UK Product,DMI UK Pack Flag,DMI UK Adjusted Variance,DentalSky Sales Price (£),Variance (DentalSky),DentalSky URL,DentalSky Notes,DentalSky Product,DentalSky Pack Flag,DentalSky Adjusted Variance,Dontalia Sales Price (€),Variance (Dontalia),Dontalia URL,Dontalia Notes,Dontalia Product,Dontalia Pack Flag,Dontalia Adjusted Variance,Henry Schein Sales Price (€),Variance (Henry Schein),Henry Schein URL,Henry Schein Notes,Henry Schein Product,Henry Schein Pack Flag,Henry Schein Adjusted Variance
CSR008,UnoDent Steel Bur RA Round No.8 (BLC8)  - Pack25,UnoDent,BLC8,ENDODONTICS & ACCESSORIES,Pack (25),£6.32,£14.27,€16.55,55.7%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
DTW312,UnoDent Tweezers College Type Angled - Each,UnoDent,DTW312,INSTRUMENTS & ACCESSORIES,Each,£0.97,£3.37,€3.91,71.2%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
DWG005,Dentsply WaveOne Gold Primary File 25mm (A0753225G0P03),Dentsply,A0753225G0P03,ENDODONTICS & ACCESSORIES,Pack (3),£33.48,£50.99,€59.15,34.3%,€68.77,-14.0%,https://www.dmi.ie/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html,,Dentsply Sirona Waveone Gold Primary File 25mm  Pack 3 - Red,UNKNOWN,,£57.77,-11.7%,https://www.dmi.co.uk/products/dentsply-sirona-waveone-gold-primary-file-3pk-25mm-dent-a0753225g0p03.html,,Dentsply Sirona Waveone Gold Primary File 25mm  Pack 3 - Red,UNKNOWN,,£46.35,10.0%,https://www.dentalsky.com/dentsply-waveone-gold-primary-25mm-3.html,,,,,€78.99,,,,,,,,,,,,,
EGU201,UnoDent SS K File 21mm Size 10 - Pack6,UnoDent,EGU201,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.38,€3.92,75.4%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU211,UnoDent SS K File 25mm Size 8 - Pack6,UnoDent,EGU211,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU212,UnoDent SS K File 25mm Size 10 - Pack6,UnoDent,EGU212,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU213,UnoDent SS K File 25mm Size 15 - Pack6,UnoDent,EGU213,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU214,UnoDent SS K File 25mm Size 20 - Pack6,UnoDent,EGU214,ENDODONTICS & ACCESSORIES,Pack (6),£0.83,£3.32,€3.85,75.0%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU215,UnoDent SS K File 25mm Size 25 - Pack6,UnoDent,EGU215,ENDODONTICS & ACCESSORIES,Pack (6),£0.81,£3.32,€3.85,75.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
EGU216,UnoDent SS K File 25mm Size 30 - Pack6,UnoDent,EGU216,ENDODONTICS & ACCESSORIES,Pack (6),£0.81,£3.32,€3.85,75.6%,N/A,N/A,,Not listed on competitor,,,,N/A,,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,N/A,N/A,,Not listed on competitor,,,,,,,,,,
